,클러스터,PBR_기준,투자기간,결과
703,1,18,250,0.24200878267973858
704,1,19,250,0.24200878267973858
705,1,5,280,0.2501043791685605
706,1,6,280,0.2501043791685605
707,1,7,280,0.2501043791685605
708,1,8,280,0.2501043791685605
709,1,9,280,0.2501043791685605
710,1,10,280,0.2501043791685605
711,1,11,280,0.2604472140762463
712,1,12,280,0.2604472140762463
713,1,13,280,0.2604472140762463
714,1,14,280,0.2604472140762463
715,1,15,280,0.2604472140762463
716,1,16,280,0.2604472140762463
717,1,17,280,0.2604472140762463
718,1,18,280,0.2604472140762463
719,1,19,280,0.2604472140762463
720,1,5,310,0.18226600985221675
721,1,6,310,0.18226600985221675
722,1,7,310,0.18226600985221675
723,1,8,310,0.18226600985221675
724,1,9,310,0.18226600985221675
725,1,10,310,0.18226600985221675
726,1,11,310,0.2060915044994651
727,1,12,310,0.2060915044994651
728,1,13,310,0.2060915044994651
729,1,14,310,0.2060915044994651
730,1,15,310,0.2060915044994651
731,1,16,310,0.2060915044994651
732,1,17,310,0.2060915044994651
733,1,18,310,0.2060915044994651
734,1,19,310,0.2060915044994651
735,1,5,340,0.14206642066420663
736,1,6,340,0.14206642066420663
737,1,7,340,0.14206642066420663
738,1,8,340,0.14206642066420663
739,1,9,340,0.14206642066420663
740,1,10,340,0.14206642066420663
741,1,11,340,0.15346229523741792
742,1,12,340,0.15346229523741792
743,1,13,340,0.15346229523741792
744,1,14,340,0.15346229523741792
745,1,15,340,0.15346229523741792
746,1,16,340,0.15346229523741792
747,1,17,340,0.15346229523741792
748,1,18,340,0.15346229523741792
749,1,19,340,0.15346229523741792
750,1,5,370,0.20159680638722555
751,1,6,370,0.20159680638722555
752,1,7,370,0.20159680638722555
753,1,8,370,0.20159680638722555
754,1,9,370,0.20159680638722555
755,1,10,370,0.20159680638722555
756,1,11,370,0.22142554079670423
757,1,12,370,0.22142554079670423
758,1,13,370,0.22142554079670423
759,1,14,370,0.22142554079670423
760,1,15,370,0.22142554079670423
761,1,16,370,0.22142554079670423
762,1,17,370,0.22142554079670423
763,1,18,370,0.22142554079670423
764,1,19,370,0.22142554079670423
765,1,5,400,0.2743024944374426
766,1,6,400,0.2743024944374426
767,1,7,400,0.2743024944374426
768,1,8,400,0.2743024944374426
769,1,9,400,0.2743024944374426
770,1,10,400,0.2743024944374426
771,1,11,400,0.3051763224882888
772,1,12,400,0.3051763224882888
773,1,13,400,0.3051763224882888
774,1,14,400,0.3051763224882888
775,1,15,400,0.3051763224882888
776,1,16,400,0.3051763224882888
777,1,17,400,0.3051763224882888
778,1,18,400,0.3051763224882888
779,1,19,400,0.3051763224882888
780,1,5,430,0.20003246753246753
781,1,6,430,0.20003246753246753
782,1,7,430,0.20003246753246753
783,1,8,430,0.20003246753246753
784,1,9,430,0.20003246753246753
785,1,10,430,0.20003246753246753
786,1,11,430,0.23155410149539132
787,1,12,430,0.23155410149539132
788,1,13,430,0.23155410149539132
789,1,14,430,0.23155410149539132
790,1,15,430,0.23155410149539132
791,1,16,430,0.23155410149539132
792,1,17,430,0.23155410149539132
793,1,18,430,0.23155410149539132
794,1,19,430,0.23155410149539132
795,1,5,460,0.1838970328401111
796,1,6,460,0.1838970328401111
797,1,7,460,0.1838970328401111
798,1,8,460,0.1838970328401111
799,1,9,460,0.1838970328401111
800,1,10,460,0.1838970328401111
801,1,11,460,0.22733336647774355
802,1,12,460,0.22733336647774355
803,1,13,460,0.22733336647774355
804,1,14,460,0.22733336647774355
805,1,15,460,0.22733336647774355
806,1,16,460,0.22733336647774355
807,1,17,460,0.22733336647774355
808,1,18,460,0.22733336647774355
809,1,19,460,0.22733336647774355
810,1,5,490,0.15863087654478278
811,1,6,490,0.15863087654478278
812,1,7,490,0.15863087654478278
813,1,8,490,0.15863087654478278
814,1,9,490,0.15863087654478278
815,1,10,490,0.15863087654478278
816,1,11,490,0.22609559985090258
817,1,12,490,0.22609559985090258
818,1,13,490,0.22609559985090258
819,1,14,490,0.22609559985090258
820,1,15,490,0.22609559985090258
821,1,16,490,0.22609559985090258
822,1,17,490,0.22609559985090258
823,1,18,490,0.22609559985090258
824,1,19,490,0.22609559985090258
825,1,5,520,0.08758405391855362
826,1,6,520,0.08758405391855362
827,1,7,520,0.08758405391855362
828,1,8,520,0.08758405391855362
829,1,9,520,0.08758405391855362
830,1,10,520,0.08758405391855362
831,1,11,520,0.14066025668664395
832,1,12,520,0.14066025668664395
833,1,13,520,0.14066025668664395
834,1,14,520,0.14066025668664395
835,1,15,520,0.14066025668664395
836,1,16,520,0.14066025668664395
837,1,17,520,0.14066025668664395
838,1,18,520,0.14066025668664395
839,1,19,520,0.14066025668664395
840,1,5,550,0.14272656045965004
841,1,6,550,0.14272656045965004
842,1,7,550,0.14272656045965004
843,1,8,550,0.14272656045965004
844,1,9,550,0.14272656045965004
845,1,10,550,0.14272656045965004
846,1,11,550,0.20282468402055936
847,1,12,550,0.20282468402055936
848,1,13,550,0.20282468402055936
849,1,14,550,0.20282468402055936
850,1,15,550,0.20282468402055936
851,1,16,550,0.20282468402055936
852,1,17,550,0.20282468402055936
853,1,18,550,0.20282468402055936
854,1,19,550,0.20282468402055936
855,1,5,580,0.5622222222222222
856,1,6,580,0.5622222222222222
857,1,7,580,0.5622222222222222
858,1,8,580,0.5622222222222222
859,1,9,580,0.5622222222222222
860,1,10,580,0.5622222222222222
861,1,11,580,0.4517984614479768
862,1,12,580,0.4517984614479768
863,1,13,580,0.4517984614479768
864,1,14,580,0.4517984614479768
865,1,15,580,0.4517984614479768
866,1,16,580,0.4517984614479768
867,1,17,580,0.4517984614479768
868,1,18,580,0.4517984614479768
869,1,19,580,0.4517984614479768
870,1,5,610,0.3251783893985729
871,1,6,610,0.3251783893985729
872,1,7,610,0.3251783893985729
873,1,8,610,0.3251783893985729
874,1,9,610,0.3251783893985729
875,1,10,610,0.3251783893985729
876,1,11,610,0.28417912593444505
877,1,12,610,0.28417912593444505
878,1,13,610,0.28417912593444505
879,1,14,610,0.28417912593444505
880,1,15,610,0.28417912593444505
881,1,16,610,0.28417912593444505
882,1,17,610,0.28417912593444505
883,1,18,610,0.28417912593444505
884,1,19,610,0.28417912593444505
885,1,5,640,0.3548951048951049
886,1,6,640,0.3548951048951049
887,1,7,640,0.3548951048951049
888,1,8,640,0.3548951048951049
889,1,9,640,0.3548951048951049
890,1,10,640,0.3548951048951049
891,1,11,640,0.31542428307898707
892,1,12,640,0.31542428307898707
893,1,13,640,0.31542428307898707
894,1,14,640,0.31542428307898707
895,1,15,640,0.31542428307898707
896,1,16,640,0.31542428307898707
897,1,17,640,0.31542428307898707
898,1,18,640,0.31542428307898707
899,1,19,640,0.31542428307898707
900,1,5,670,0.3383084577114428
901,1,6,670,0.3383084577114428
902,1,7,670,0.3383084577114428
903,1,8,670,0.3383084577114428
904,1,9,670,0.3383084577114428
905,1,10,670,0.3383084577114428
906,1,11,670,0.33786271153182784
907,1,12,670,0.33786271153182784
908,1,13,670,0.33786271153182784
909,1,14,670,0.33786271153182784
910,1,15,670,0.33786271153182784
911,1,16,670,0.33786271153182784
912,1,17,670,0.33786271153182784
913,1,18,670,0.33786271153182784
914,1,19,670,0.33786271153182784
915,1,5,700,0.1711111111111111
916,1,6,700,0.1711111111111111
917,1,7,700,0.1711111111111111
918,1,8,700,0.1711111111111111
919,1,9,700,0.1711111111111111
920,1,10,700,0.1711111111111111
921,1,11,700,0.22247397497945393
922,1,12,700,0.22247397497945393
923,1,13,700,0.22247397497945393
924,1,14,700,0.22247397497945393
925,1,15,700,0.22247397497945393
926,1,16,700,0.22247397497945393
927,1,17,700,0.22247397497945393
928,1,18,700,0.22247397497945393
929,1,19,700,0.22247397497945393
930,1,5,730,0.2
931,1,6,730,0.2
